Node,SIR
866,1.655
296,1.562
775,1.827
946,1.978
440,1.618
232,1.548
320,1.701
820,1.752
368,2.089
616,1.524
506,1.642
453,1.566
504,1.499
724,1.541
646,1.629
499,1.549
645,1.775
493,2.521
607,1.746
957,1.548
344,2.201
664,2.039
960,1.851
858,1.964
875,1.953
636,1.522
923,1.716
258,1.746
893,1.745
361,1.501
400,1.718
914,1.462
291,1.913
709,2.044
831,1.531
876,1.461
932,1.409
993,1.828
422,2.496
549,1.534
708,1.546
523,1.442
363,1.73
509,1.584
795,1.445
799,1.655
818,1.504
392,1.827
707,1.737
898,1.416
681,1.68
721,1.452
347,1.775
859,1.39
973,1.554
418,1.871
604,1.996
800,1.434
947,1.761
555,1.601
959,1.657
803,1.594
890,1.418
663,1.477
659,1.626
412,2.039
571,1.942
653,1.78
370,2.014
458,1.556
586,1.514
776,1.708
553,2.04
502,1.644
326,1.427
637,1.709
756,1.559
640,1.769
448,1.51
694,1.526
712,2.006
764,1.893
878,1.519
968,1.469
588,1.639
642,1.492
786,1.402
700,1.438
901,1.578
967,1.54
481,1.944
988,1.706
380,1.419
611,1.758
526,1.311
651,1.522
690,1.53
989,1.348
488,1.707
871,1.638
525,1.603
943,1.36
737,1.654
674,1.981
956,1.897
711,1.449
699,1.621
635,1.797
915,1.592
869,1.346
832,1.504
781,1.837
902,1.538
676,1.548
950,1.408
691,1.396
899,1.71
921,1.555
996,1.389
997,1.433
695,1.453
790,1.653
772,1.649
719,1.745
748,1.415
802,1.633
976,1.4
879,1.439
780,1.43
987,1.445
965,1.293
880,1.37
789,1.334
827,1.599
906,1.441
758,1.312
741,1.898
925,1.335
797,1.698
942,1.469
727,1.528
825,1.45
739,1.576
752,1.352
817,1.42
896,1.436
938,1.708
839,1.272
